number,pokemon_name,pic_url,main_type,secondary_type,region,category,height (),weight (),pokemon_family,attack,defense,stamina,cp min,cp max,Hp min,hp max,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,Fecha
189,Jumpluff,https://static.wikia.nocookie.net/pokemongo/images/4/43/Jumpluff.png,Grass,Flying,Johto,Cottonweed,"0,79",3,Hoppip family,118,183,181,18,1636,17,154,"12,50%",5%,50%,50%,"{'62.5%': ['Fighting', 'Water'], '39%': ['Grass'], '24%': ['Ground']}","{'160%': ['Fire', 'Flying', 'Poison', 'Rock'], '256%': ['Ice']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
190,Aipom,https://static.wikia.nocookie.net/pokemongo/images/b/bd/Aipom.png,Normal,,Johto,Long,"0,79","11,5",Aipom family,136,112,146,15,1348,13,127,20%,9%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (2nd tier level),Formerly,Yes,Yes,2000
191,Sunkern,https://static.wikia.nocookie.net/pokemongo/images/d/de/Sunkern.png,Grass,,Johto,Seed,"0,3","1,8",Sunkern family,55,55,102,10,395,10,92,50%,9%,50%,50%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,2000
192,Sunflora,https://static.wikia.nocookie.net/pokemongo/images/7/70/Sunflora.png,Grass,,Johto,Sun,"0,79","8,5",Sunkern family,185,135,181,25,2141,17,154,10%,7%,50%,50%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",No,No,Formerly (2nd tier level),No,Yes,No,2000
193,Yanma,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Yanma.png,Bug,Flying,Johto,Clear,"1,19",38,Yanma family,154,94,163,16,1470,15,140,30%,10%,50%,50%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}",Yes,No,Formerly (1st tier level),Yes,Yes,No,2000
194,Wooper,https://static.wikia.nocookie.net/pokemongo/images/4/42/Wooper.png,Water,Ground,Johto,Water,"0,41","8,5",Wooper family,75,66,146,10,641,13,127,40%,10%,50%,50%,"{'62.5%': ['Electric', 'Fire', 'Poison', 'Rock', 'Steel']}",{'256%': ['Grass']},Yes,No,No,Formerly,Yes,Yes,2000
195,Quagsire,https://static.wikia.nocookie.net/pokemongo/images/1/1b/Quagsire.png,Water,Ground,Johto,Water,"1,4",75,Wooper family,152,143,216,23,1992,20,182,15%,7%,50%,50%,"{'62.5%': ['Electric', 'Fire', 'Poison', 'Rock', 'Steel']}",{'256%': ['Grass']},Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
196,Espeon,https://static.wikia.nocookie.net/pokemongo/images/e/ef/Espeon.png,Psychic,,Johto,Sun,"0,89","26,5",Eevee family,261,175,163,38,3170,15,140,"12,50%",5%,"87,50%","12,50%","{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",No,No,Formerly (3rd tier level),Formerly,Yes,No,2000
197,Umbreon,https://static.wikia.nocookie.net/pokemongo/images/9/9f/Umbreon.png,Dark,,Johto,Moonlight,"0,99",27,Eevee family,126,240,216,25,2137,20,182,"12,50%",5%,"87,50%","12,50%","{'62.5%': ['Ghost', 'Dark'], '39%': ['Psychic']}","{'160%': ['Bug', 'Fairy', 'Fighting']}",No,No,Formerly (3rd tier level),Formerly,Yes,No,2000
198,Murkrow,https://static.wikia.nocookie.net/pokemongo/images/5/5c/Murkrow.png,Dark,Flying,Johto,Darkness,"0,51","2,1",Murkrow family,175,87,155,17,1562,14,134,20%,10%,50%,50%,"{'62.5%': ['Dark', 'Ghost', 'Grass'], '39%': ['Ground', 'Psychic']}","{'160%': ['Electric', 'Fairy', 'Ice', 'Rock']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,2000
199,Slowking,https://static.wikia.nocookie.net/pokemongo/images/c/c5/Slowking.png,Water,Psychic,Johto,Royal,2,"79,5",Slowpoke family,177,180,216,30,2545,20,182,10%,5%,50%,50%,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}",No,No,Formerly (3rd tier level),No,Yes,Yes,2000
200,Misdreavus,https://static.wikia.nocookie.net/pokemongo/images/6/6c/Misdreavus.png,Ghost,,Johto,Screech,"0,71",1,Misdreavus family,167,154,155,22,1926,14,134,30%,7%,50%,50%,"{'62.5%': ['Bug', 'Poison'], '39%': ['Fighting', 'Normal']}","{'160%': ['Dark', 'Ghost']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,2000
201,Unown,https://static.wikia.nocookie.net/pokemongo/images/f/f1/Unown.png,Psychic,,Johto,Symbol,"0,51",5,Unown family,136,91,134,13,1185,12,117,30%,10%,N/A,N/A,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes,No,Formerly (1st tier level),No,Yes (available forms listed below),No,2000
202,Wobbuffet,https://static.wikia.nocookie.net/pokemongo/images/c/cf/Wobbuffet.png,Psychic,,Johto,Patient,"1,3","28,5",Wobbuffet family,60,106,382,10,1026,35,313,25%,7%,50%,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
203,Girafarig,https://static.wikia.nocookie.net/pokemongo/images/e/eb/Girafarig.png,Normal,Psychic,Johto,Long,"1,5","41,5",Girafarig family,182,133,172,24,2046,16,147,30%,7%,50%,50%,"{'62.5%': ['Ghost', 'Psychic']}","{'160%': ['Bug', 'Dark']}",Yes,No,Formerly (2nd tier level),Formerly,Yes,Yes,2000
204,Pineco,https://static.wikia.nocookie.net/pokemongo/images/d/da/Pineco.png,Bug,,Johto,Bagworm,"0,61","7,2",Pineco family,108,122,137,12,1108,12,120,40%,12%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
205,Forretress,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Forretress.png,Bug,Steel,Johto,Bagworm,"1,19","125,8",Pineco family,161,205,181,27,2282,17,154,15%,7%,50%,50%,"{'62.5%': ['Bug', 'Dragon', 'Fairy', 'Ice', 'Normal', 'Psychic', 'Steel'], '39%': ['Grass', 'Poison']}",{'256%': ['Fire']},Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
206,Dunsparce,https://static.wikia.nocookie.net/pokemongo/images/5/50/Dunsparce.png,Normal,,Johto,Land,"1,5",14,Dunsparce family,131,128,225,19,1689,21,189,30%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,No,Yes,Yes,No,2000
207,Gligar,https://static.wikia.nocookie.net/pokemongo/images/2/20/Gligar.png,Ground,Flying,Johto,Fly,"1,09","64,8",Gligar family,143,184,163,21,1857,15,140,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Electric', 'Fighting', 'Poison'], '39%': ['Ground']}","{'160%': ['Water'], '256%': ['Ice']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
208,Steelix,https://static.wikia.nocookie.net/pokemongo/images/2/2a/Steelix.png,Steel,Ground,Johto,Iron,"9,2",400,Onix family,148,272,181,29,2414,17,154,10%,5%,50%,50%,"{'62.5%': ['Bug', 'Dragon', 'Fairy', 'Flying', 'Normal', 'Psychic', 'Steel'], '39%': ['Electric', 'Rock'], '24%': ['Poison']}","{'160%': ['Fighting', 'Fire', 'Ground', 'Water']}",No,No,No,No,Yes,No,2000
209,Snubbull,https://static.wikia.nocookie.net/pokemongo/images/2/23/Snubbull.png,Fairy,,Johto,Fairy,"0,61","7,8",Snubbull family,137,85,155,13,1237,14,134,40%,10%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,2000
210,Granbull,https://static.wikia.nocookie.net/pokemongo/images/2/28/Granbull.png,Fairy,,Johto,Fairy,"1,4","48,7",Snubbull family,212,131,207,30,2552,19,175,15%,8%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
211,Qwilfish,https://static.wikia.nocookie.net/pokemongo/images/c/c1/Qwilfish.png,Water,Poison,Johto,Balloon,"0,51","3,9",Qwilfish family,184,138,163,24,2051,15,140,30%,8%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Fire', 'Ice', 'Poison', 'Steel', 'Water']}","{'160%': ['Electric', 'Ground', 'Psychic']}",Yes,No,Formerly (1st tier level),No,Yes,No,2000
212,Scizor,https://static.wikia.nocookie.net/pokemongo/images/8/87/Scizor.png,Bug,Steel,Johto,Pincer,"2,01",125,Scyther family,236,181,172,36,3001,16,147,5%,5%,50%,50%,"{'62.5%': ['Bug', 'Dragon', 'Fairy', 'Ice', 'Normal', 'Psychic', 'Steel'], '39%': ['Grass', 'Poison']}",{'256%': ['Fire']},No,No,No,No,Yes,Yes,2000
213,Shuckle,https://static.wikia.nocookie.net/pokemongo/images/3/3c/Shuckle.png,Bug,Rock,Johto,Mold,"0,61","20,5",Shuckle family,17,396,85,10,405,10,79,30%,7%,50%,50%,"{'62.5%': ['Normal', 'Poison']}","{'160%': ['Rock', 'Steel', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,2000
214,Heracross,https://static.wikia.nocookie.net/pokemongo/images/2/21/Heracross.png,Bug,Fighting,Johto,Single,"1,5",54,Heracross family,234,179,190,38,3101,17,162,30%,9%,50%,50%,"{'62.5%': ['Bug', 'Dark', 'Fighting', 'Grass', 'Ground']}","{'160%': ['Fairy', 'Fire', 'Psychic'], '256%': ['Flying']}",Yes,No,Formerly (3rd tier level),No,Yes,No,2000
215,Sneasel,https://static.wikia.nocookie.net/pokemongo/images/4/47/Sneasel.png,Dark,Ice,Johto,Sharp,"0,89",28,Sneasel family,189,146,146,24,2051,13,127,20%,7%,50%,50%,"{'62.5%': ['Dark', 'Ghost', 'Ice'], '39%': ['Psychic']}","{'160%': ['Bug', 'Fairy', 'Fire', 'Rock', 'Steel'], '256%': ['Fighting']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
216,Teddiursa,https://static.wikia.nocookie.net/pokemongo/images/1/1e/Teddiursa.png,Normal,,Johto,Little,"0,61","8,8",Teddiursa family,142,93,155,15,1328,14,134,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,No,Formerly,Yes,Yes,2000
217,Ursaring,https://static.wikia.nocookie.net/pokemongo/images/6/61/Ursaring.png,Normal,,Johto,Hibernator,"1,8","125,8",Teddiursa family,236,144,207,36,2945,19,175,15%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
218,Slugma,https://static.wikia.nocookie.net/pokemongo/images/0/06/Slugma.png,Fire,,Johto,Lava,"0,71",35,Slugma family,118,71,120,10,895,11,106,30%,10%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,No,Formerly,Yes,No,2000
219,Magcargo,https://static.wikia.nocookie.net/pokemongo/images/8/8f/Magcargo.png,Fire,Rock,Johto,Lava,"0,79",55,Slugma family,139,191,137,19,1702,12,120,"12,50%",6%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Fighting', 'Rock'], '256%': ['Ground', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,2000
220,Swinub,https://static.wikia.nocookie.net/pokemongo/images/3/38/Swinub.png,Ice,Ground,Johto,Pig,"0,41","6,5",Swinub family,90,69,137,10,741,12,120,30%,10%,50%,50%,"{'62.5%': ['Poison'], '39%': ['Electric']}","{'160%': ['Fighting', 'Fire', 'Grass', 'Steel', 'Water']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
221,Piloswine,https://static.wikia.nocookie.net/pokemongo/images/3/38/Piloswine.png,Ice,Ground,Johto,Swine,"1,09","55,8",Swinub family,181,138,225,28,2345,21,189,"12,50%",6%,50%,50%,"{'62.5%': ['Poison'], '39%': ['Electric']}","{'160%': ['Fighting', 'Fire', 'Grass', 'Steel', 'Water']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
222,Corsola,https://static.wikia.nocookie.net/pokemongo/images/6/6a/Corsola.png,Water,Rock,Johto,Coral,"0,61",5,Corsola family,118,156,146,15,1378,13,127,30%,12%,25%,75%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}",Yes,No,Formerly (3rd tier level),No,Yes,No,2000
223,Remoraid,https://static.wikia.nocookie.net/pokemongo/images/b/ba/Remoraid.png,Water,,Johto,Jet,"0,61",12,Remoraid family,127,69,111,10,912,10,99,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,No,Yes,Yes,No,2000
224,Octillery,https://static.wikia.nocookie.net/pokemongo/images/7/7a/Octillery.png,Water,,Johto,Jet,"0,89","28,5",Remoraid family,197,141,181,27,2315,17,154,15%,7%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,2000
225,Delibird,https://static.wikia.nocookie.net/pokemongo/images/4/4f/Delibird.png,Ice,Flying,Johto,Delivery,"0,89",16,Delibird family,128,90,128,12,1094,12,113,20%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Steel'], '256%': ['Rock']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,2000
226,Mantine,https://static.wikia.nocookie.net/pokemongo/images/9/99/Mantine.png,Water,Flying,Johto,Kite,"2,11",220,Mantine family,148,226,163,25,2108,15,140,30%,7%,50%,50%,"{'62.5%': ['Bug', 'Fighting', 'Fire', 'Steel', 'Water'], '39%': ['Ground']}","{'160%': ['Rock'], '256%': ['Electric']}",Yes,No,Formerly (2nd tier level),Yes,Yes,No,2000
227,Skarmory,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Skarmory.png,Steel,Flying,Johto,Armor,"1,7","50,5",Skarmory family,148,226,163,25,2108,15,140,20%,9%,50%,50%,"{'62.5%': ['Dragon', 'Fairy', 'Flying', 'Ground', 'Normal', 'Psychic', 'Steel'], '39%': ['Bug', 'Grass', 'Poison']}","{'160%': ['Electric', 'Fire']}",Yes,Yes (5-km Eggs),Formerly (3rd tier level),Formerly,Yes,Yes,2000
228,Houndour,https://static.wikia.nocookie.net/pokemongo/images/b/ba/Houndour.png,Dark,Fire,Johto,Dark,"0,61","10,8",Houndour family,152,83,128,13,1234,12,113,40%,10%,50%,50%,"{'62.5%': ['Dark', 'Fire', 'Ghost', 'Grass', 'Ice', 'Steel'], '39%': ['Psychic']}","{'160%': ['Fighting', 'Ground', 'Rock', 'Water']}",Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2000
229,Houndoom,https://static.wikia.nocookie.net/pokemongo/images/3/3f/Houndoom.png,Dark,Fire,Johto,Dark,"1,4",35,Houndour family,224,144,181,31,2635,17,154,15%,6%,50%,50%,"{'62.5%': ['Dark', 'Fire', 'Ghost', 'Grass', 'Ice', 'Steel'], '39%': ['Psychic']}","{'160%': ['Fighting', 'Ground', 'Rock', 'Water']}",Yes,No,Formerly (4th tier level),No,Yes,Yes,2000
230,Kingdra,https://static.wikia.nocookie.net/pokemongo/images/b/bd/Kingdra.png,Water,Dragon,Johto,Dragon,"1,8",152,Horsea family,194,194,181,32,2641,17,154,10%,5%,50%,50%,"{'62.5%': ['Steel'], '39%': ['Fire', 'Water']}","{'160%': ['Dragon', 'Fairy']}",No,No,No,No,Yes,Yes,2000
231,Phanpy,https://static.wikia.nocookie.net/pokemongo/images/9/9f/Phanpy.png,Ground,,Johto,Long,"0,51","33,5",Phanpy family,107,98,207,13,1206,19,175,50%,20%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,2000
232,Donphan,https://static.wikia.nocookie.net/pokemongo/images/6/68/Donphan.png,Ground,,Johto,Armor,"1,09",120,Phanpy family,214,185,207,37,3013,19,175,"12,50%",7%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes,No,Formerly (3rd tier level),No,Yes,No,2000
233,Porygon2,https://static.wikia.nocookie.net/pokemongo/images/b/b0/Porygon2.png,Normal,,Johto,Virtual,"0,61","32,5",Porygon family,198,180,198,33,2711,18,168,5%,5%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},No,No,Formerly (3rd tier level),No,Yes,Yes,2000
234,Stantler,https://static.wikia.nocookie.net/pokemongo/images/5/5a/Stantler.png,Normal,,Johto,Big,"1,4","71,2",Stantler family,192,131,177,25,2164,16,151,30%,8%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,2000
235,Smeargle,https://static.wikia.nocookie.net/pokemongo/images/a/a9/Smeargle.png,Normal,,Johto,Painter,"1,19",58,Smeargle family,40,83,146,10,431,13,127,25%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},No,No,No,No,Yes,No,2000
236,Tyrogue,https://static.wikia.nocookie.net/pokemongo/images/b/b0/Tyrogue.png,Fighting,,Johto,Scuffle,"0,71",21,Tyrogue family,64,64,111,10,492,10,99,N/A,N/A,N/A,N/A,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",No,Yes (5-km Eggs),No,No,Yes,No,2000
237,Hitmontop,https://static.wikia.nocookie.net/pokemongo/images/a/a2/Hitmontop.png,Fighting,,Johto,Handstand,"1,4",48,Tyrogue family,173,207,137,25,2156,12,120,10%,5%,N/A,N/A,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}",Yes,No,Formerly (3rd tier level),No,Yes,No,2000
238,Smoochum,https://static.wikia.nocookie.net/pokemongo/images/c/ce/Smoochum.png,Ice,Psychic,Johto,Kiss,"0,41",6,Jynx family,153,91,128,14,1291,12,113,25%,20%,N/A,N/A,"{'62.5%': ['Ice', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Fire', 'Ghost', 'Rock', 'Steel']}",No,No,No,Formerly,Yes,No,2000
239,Elekid,https://static.wikia.nocookie.net/pokemongo/images/a/a6/Elekid.png,Electric,,Johto,Electric,"0,61","23,5",Electabuzz family,135,101,128,13,1206,12,113,N/A,N/A,75%,25%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},No,No,No,No,Yes,No,2000
240,Magby,https://static.wikia.nocookie.net/pokemongo/images/4/42/Magby.png,Fire,,Johto,Live,"0,71","21,4",Magmar family,151,99,128,15,1323,12,113,N/A,N/A,75%,25%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",No,No,No,No,Yes,No,2000
241,Miltank,https://static.wikia.nocookie.net/pokemongo/images/b/b9/Miltank.png,Normal,,Johto,Milk,"1,19","75,5",Miltank family,157,193,216,28,2354,20,182,20%,8%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,Formerly (1st tier level),Formerly,Yes,No,2000
242,Blissey,https://static.wikia.nocookie.net/pokemongo/images/2/2a/Blissey.png,Normal,,Johto,Happiness,"1,5","46,8",Chansey family,129,169,496,33,2757,46,403,5%,5%,N/A,N/A,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes,No,No,No,Yes,No,2000
243,Raikou,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Raikou.png,Electric,,Johto,Thunder,"1,91",178,Raikou family,241,195,207,42,3452,19,175,2%,4%,N/A,N/A,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},No,No,Formerly (5th tier level),No,Yes,Yes,2000
244,Entei,https://static.wikia.nocookie.net/pokemongo/images/0/0a/Entei.png,Fire,,Johto,Volcano,"2,11",198,Entei family,235,171,251,43,3473,23,210,2%,4%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",No,No,Formerly (5th tier level),No,Yes,Yes,2000
245,Suicune,https://static.wikia.nocookie.net/pokemongo/images/c/c3/Suicune.png,Water,,Johto,Aurora,"2,01",187,Suicune family,180,235,225,36,2983,21,189,2%,4%,N/A,N/A,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",No,No,Formerly (5th tier level),No,Yes,Yes,2000
246,Larvitar,https://static.wikia.nocookie.net/pokemongo/images/7/71/Larvitar.png,Rock,Ground,Johto,Rock,"0,61",72,Larvitar family,115,93,137,11,1040,12,120,40%,10%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes,Yes (12-km Eggs),Formerly (1st tier level),Formerly,Yes,Yes,2000
247,Pupitar,https://static.wikia.nocookie.net/pokemongo/images/5/58/Pupitar.png,Rock,Ground,Johto,Hard,"1,19",152,Larvitar family,155,133,172,20,1766,16,147,10%,7%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes,No,No,No,Yes,Yes,2000
248,Tyranitar,https://static.wikia.nocookie.net/pokemongo/images/9/95/Tyranitar.png,Rock,Dark,Johto,Armor,"2,01",202,Larvitar family,251,207,225,47,3834,21,189,5%,4%,50%,50%,"{'62.5%': ['Dark', 'Fire', 'Flying', 'Ghost', 'Normal', 'Poison'], '39%': ['Psychic']}","{'160%': ['Bug', 'Fairy', 'Grass', 'Ground', 'Steel', 'Water'], '256%': ['Fighting']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,2000
249,Lugia,https://static.wikia.nocookie.net/pokemongo/images/a/a7/Lugia.png,Psychic,Flying,Johto,Diving,"5,21",216,Lugia family,193,310,235,46,3703,22,197,2%,4%,N/A,N/A,"{'62.5%': ['Grass', 'Psychic'], '39%': ['Fighting', 'Ground']}","{'160%': ['Dark', 'Electric', 'Ghost', 'Ice', 'Rock']}",No,No,Formerly (5th tier level),No,Yes,Yes,2000
250,Ho-Oh,https://static.wikia.nocookie.net/pokemongo/images/0/00/Ho-Oh.png,Fire,Flying,Johto,Rainbow,"3,81",199,Ho-Oh family,239,244,214,48,3863,20,180,2%,4%,N/A,N/A,"{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}",No,No,Formerly (5th tier level),No,Yes,Yes,2000
251,Celebi,https://static.wikia.nocookie.net/pokemongo/images/e/e4/Celebi.png,Psychic,Grass,Johto,Time,"0,61",5,Celebi family,210,210,225,40,3265,21,189,N/A,N/A,N/A,N/A,"{'62.5%': ['Electric', 'Fighting', 'Grass', 'Ground', 'Psychic', 'Water']}","{'160%': ['Dark', 'Fire', 'Flying', 'Ghost', 'Ice', 'Poison'], '256%': ['Bug']}",No,No,No,No,Yes,No,2000
252,Treecko,https://static.wikia.nocookie.net/pokemongo/images/b/b8/Treecko.png,Grass,,Hoenn,Wood,"0,51",5,Treecko family,124,94,120,11,1053,11,106,20%,10%,"87,50%","12,50%","{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",Yes,No,Formerly (1st tier level),Yes,Yes,No,2002
253,Grovyle,https://static.wikia.nocookie.net/pokemongo/images/6/6a/Grovyle.png,Grass,,Hoenn,Wood,"0,89","21,6",Treecko family,172,120,137,19,1673,12,120,10%,7%,"87,50%","12,50%","{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",Yes,No,Formerly (1st tier level),No,Yes,No,2002
254,Sceptile,https://static.wikia.nocookie.net/pokemongo/images/7/79/Sceptile.png,Grass,,Hoenn,Forest,"1,7","52,2",Treecko family,223,169,172,33,2757,16,147,5%,5%,"87,50%","12,50%","{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}",Yes,No,No,No,Yes,No,2002
255,Torchic,https://static.wikia.nocookie.net/pokemongo/images/4/4f/Torchic.png,Fire,,Hoenn,Chick,"0,41","2,5",Torchic family,130,87,128,12,1093,12,113,20%,10%,"87,50%","12,50%","{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (1st tier level),Yes,Yes,No,2002
256,Combusken,https://static.wikia.nocookie.net/pokemongo/images/c/cf/Combusken.png,Fire,Fighting,Hoenn,Young,"0,89","19,5",Torchic family,163,115,155,19,1652,14,134,10%,7%,"87,50%","12,50%","{'62.5%': ['Dark', 'Fire', 'Grass', 'Ice', 'Steel'], '39%': ['Bug']}","{'160%': ['Ground', 'Flying', 'Psychic', 'Water']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,No,2002
257,Blaziken,https://static.wikia.nocookie.net/pokemongo/images/a/ab/Blaziken.png,Fire,Fighting,Hoenn,Blaze,"1,91",52,Torchic family,240,141,190,34,2848,17,162,5%,5%,"87,50%","12,50%","{'62.5%': ['Dark', 'Fire', 'Grass', 'Ice', 'Steel'], '39%': ['Bug']}","{'160%': ['Ground', 'Flying', 'Psychic', 'Water']}",Yes,No,Formerly (3rd tier level),No,Yes,No,2002
258,Mudkip,https://static.wikia.nocookie.net/pokemongo/images/a/ae/Mudkip.png,Water,,Hoenn,Mud,"0,41","7,6",Mudkip family,126,93,137,12,1128,12,120,20%,10%,"87,50%","12,50%","{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,2002
259,Marshtomp,https://static.wikia.nocookie.net/pokemongo/images/d/d7/Marshtomp.png,Water,Ground,Hoenn,Mud,"0,71",28,Mudkip family,156,133,172,20,1776,16,147,10%,7%,"87,50%","12,50%","{'62.5%': ['Electric', 'Fire', 'Poison', 'Rock', 'Steel']}",{'256%': ['Grass']},Yes,No,Formerly (1st tier level),Formerly,Yes,Yes,2002
